Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
armenian folk,0.13699999999999998,87.93799999999996,36.75,G,Major
art pop,0.5200869723328763,121.94090496216249,43.84858292319787,G,Major
art punk,0.540587862453824,128.50921432334377,31.11869213914621,A,Major
art rock,0.49845293023553106,121.45952187849406,34.06223461813197,A,Major
art song,0.3192906349206349,110.37871039682537,13.705873015873015,Bb,Major
asbury park indie,0.3515833333333333,122.7479166666667,0.0,Gb,Major
asian american hip hop,0.7279647435897436,113.21772435897437,37.00320512820513,Db,Major
asmr,0.1456666666666667,98.66866666666664,66.66666666666667,F,Major
assyrian pop,0.7140000000000001,132.984,0.0,G,Major
athens indie,0.4754767929438981,135.12811111914402,38.588345864661655,G,Major
atl hip hop,0.7344503017743349,122.41171066416656,51.391240591101436,Db,Major
atl trap,0.7375890059159367,122.7128757415588,55.25865095972513,Bb,Minor
atlanta indie,0.760625,138.35537499999998,29.375,B,Minor
atlanta metal,0.4971969696969698,114.0255,51.57575757575757,Db,Major
atlanta punk,0.565,104.00200000000001,1.0,G,Major
atmosphere,0.3848833333333333,73.47144444444444,17.722222222222218,Bb,Major
atmospheric black metal,0.2638333333333333,111.02750000000003,43.5,E,Major
atmospheric dnb,0.6829999999999999,119.50399999999999,48.0,D,Major
atmospheric post-metal,0.232,111.4545625,20.75,A,Major
atmospheric post-rock,0.8690000000000001,135.023,0.0,E,Minor
atmospheric sludge,0.233,111.8225,20.5,A,Major
auckland indie,0.4405833333333333,128.92633333333333,58.0,C,Major
audiophile vocal,0.5303333333333334,101.97122222222224,22.0,F,Major
aussie emo,0.272,106.95299999999999,16.0,C,Major
aussietronica,0.5982692307692307,127.7276153846154,38.307692307692314,Db,Minor
austin americana,0.5833416666666666,118.85544166666666,46.50833333333333,G,Major
austin singer-songwriter,0.5751333333333334,135.13786666666667,38.833333333333336,D,Major
austindie,0.6224000000000001,108.78919166666668,56.81666666666667,G,Major
australian alternative pop,0.7764166666666666,120.69233333333334,35.166666666666664,Gb,Minor
australian alternative rock,0.4747922969006303,127.00113835362171,30.700243891910556,E,Major
australian ambient,0.301,127.536,60.0,Db,Major
australian americana,0.5834999999999999,147.0095,8.5,C,Major
australian black metal,0.32533333333333336,117.72366666666666,0.0,E,Minor
australian children's music,0.7105285714285714,144.90097142857144,45.18571428571429,D,Major
australian classical,0.35699999999999993,104.83375,26.25,A,Major
australian classical piano,0.113,174.59900000000005,38.0,C,Major
australian country,0.5647354312354312,120.31035489510492,30.06372549019608,G,Major
australian dance,0.6006606147448665,135.39836088759262,38.760150981647456,G,Major
australian electropop,0.5770436111111111,130.57556925925925,30.962037037037028,F,Minor
australian garage punk,0.4803333333333333,114.82733333333331,43.0,G,Major
australian hip hop,0.6812131435006435,121.01194377413128,54.19603442728443,A,Major
australian house,0.6947647058823531,127.25448529411766,17.441176470588232,C,Minor
australian indie,0.5735915811339201,118.7755166177908,41.216153470185716,D,Major
australian indie folk,0.53656,114.59906,61.44,Ab,Major
australian indigenous,0.5985,107.3115,24.5,D,Major
australian metal,0.636,125.035,3.0,G,Minor
australian metalcore,0.40652222222222223,138.39149999999998,37.333333333333336,G,Major
australian pop,0.5927983623848198,123.3041898552536,50.33201248723061,G,Major
australian post-hardcore,0.4455,147.61,19.5,A,Major
australian post-punk,0.430125,115.189125,26.875,G,Major
australian psych,0.4449642533936651,121.86900497737558,55.961085972850675,D,Major
australian r&b,0.649,105.7485,63.0,D,Major
australian reggae fusion,0.512,113.25820000000002,61.8,E,Minor
